MASCARA;IES
673;2319
674;474
675;1383
676;2111
677;3975
678;
679;2433
680;3746
681;2917
682;1185
683;2570
684;3682
685;18492
686;
687;3529
688;3337
689;5518
690;2949
691;4091
692;574
693;
694;1810
695;2124
696;3360
697;4722
698;4010
699;5394
700;2191
701;4149
702;1076
703;403
704;624
705;1059
706;4220
707;3588
708;2222
709;4826
710;5394
711;660
712;1248
713;2149
714;973
715;1459
716;
717;3657
718;1319
719;4069
720;2132
721;227
722;3683
723;124
724;3461
725;5439
726;778
727;1964
728;192
729;606
730;5439
731;2350
732;1053
733;4017
734;3688
735;1430
736;265
737;29
738;2180
739;5511
740;1759
741;2275
742;637
743;3189
744;2437
745;2703
746;370
747;1510
748;451
749;3149
750;3396
751;3477
752;3334
753;1839
754;437
755;1455
756;2135
757;
758;2311
759;2373
760;25282
761;3392
762;2264
763;573
764;3479
765;2964
766;4009
767;1847
768;145
769;1724
770;3603
771;780
772;144
773;397
774;2266
775;3584
776;18
777;1892
778;5021
779;3791
780;29118
781;2536
782;1961
783;1870
784;2426
785;416
786;346
787;4222
788;3837
789;3363
790;918
791;1891
792;3224
793;8
794;3489
795;756
796;1886
797;3947
798;30
799;2793
800;1292
801;
802;4630
803;1923
804;4858
805;1733
806;398
807;1591
808;1327
809;3840
810;1885
811;1115
812;1453
813;330
814;271
815;3807
816;1774
817;843
818;3158
819;5277
820;5668
821;597
822;18492
823;3146
824;468
825;3393
826;1541
827;602
828;2123
829;3188
830;5285
831;3278
832;1812
833;4790
834;1513
835;1934
836;1767
837;221
838;5600
839;162
840;549
841;299
842;2039
843;994
844;2231
845;2014
846;2653
847;170
848;2805
849;3954
850;3486
851;1818
852;1910
853;5403
854;1256
855;1681
856;214
857;1309
858;1360
859;4255
860;5277
861;18492
862;4259
863;3177
864;898
865;2245
866;1535
867;2022
868;2927
869;1902
870;3530
871;1264
872;1568
873;2640
874;1221
875;3936
876;2770
877;2257
878;939
879;5599
880;2757
881;1294
882;1764
883;2753
884;1664
885;3307
886;3311
887;1928
888;267
889;494
890;2651
891;207
892;203
893;1978
894;2616
895;3691
896;2336
897;2831
898;793
899;2420
