MASCARA;IES
1;3692
2;1308
3;1899
4;3754
5;1647
6;107
7;602
8;3157
9;1541
10;13
11;1326
12;2096
13;4394
14;120051038
15;546
16;120051182
17;2576
18;23410
19;17
20;1080
21;1670
22;120061292
23;214
24;1537
25;5600
26;1624
27;1844
28;1596
29;2015
30;2616
31;1281
32;1895
33;1644
34;781
35;1753
36;1396
37;2553
38;3612
39;2450
40;1353
41;1968
42;1076
43;220
44;1546
45;1048
46;
47;833
48;589
49;1307
50;4218
51;3691
52;5518
53;737
54;93
55;120050055
56;349
57;2835
58;3303
59;2123
60;666
61;3294
62;861
63;712
64;5315
65;2289
66;1809
67;126
68;3462
69;120060801
70;1996
71;2149
72;2528
73;2909
74;2402
75;2744
76;264
77;2120
78;997
79;1156
80;1540
81;1781
82;1849
83;167
84;5439
85;1786
86;2757
87;2469
88;1120
89;95
90;1838
91;825
92;1986
93;668
94;1851
95;2609
96;849
97;25282
98;2373
99;1497
100;5670
101;461
102;1064
103;1775
104;769
105;1342
106;899
107;794
108;18492
109;1580
110;1896
111;2009
112;1748
113;120050873
114;2088
115;120062096
116;1863
117;1703
118;1784
119;12522
120;1170
121;1263
122;4026
123;652
124;2565
125;1743
126;1394
127;1096
128;1465
129;459
130;918
131;343
132;1821
133;120060686
134;120061921
135;5277
136;1614
137;1118
138;475
139;1419
140;1812
141;5593
142;2317
143;271
144;5318
145;57
146;2336
147;2045
148;724
149;1736
150;2456
151;761
152;571
153;1445
154;2756
155;120051619
156;120051600
157;120051629
158;1585
159;2202
160;1887
161;468
162;2435
163;1524
164;2045
165;143
166;1202
167;2231
168;14165
169;2427
170;120060477
171;2334
172;677
173;2436
174;4962
175;1766
176;1717
177;294
178;1107
179;3954
180;3279
181;3190
182;1599
183;756
184;1974
185;2171
186;176
187;1042
188;758
189;1233
190;120051775
191;828
192;60
193;145
194;3034
195;1440
196;5369
197;1969
198;1181
199;3514
200;1430
201;2365
202;3146
203;877
204;321
205;688
206;1800
207;120060793
208;339
209;1411
210;2233
211;68
212;3203
213;3840
214;202
215;120051251
216;4255
217;1904
218;4254
219;3161
220;1685
221;1379
222;648
223;1876
224;1337
225;1583
226;3490
227;519
228;120060356
229;82
230;1283
231;545
232;171
233;1426
234;1923
235;
236;4522
237;3165
238;3948
239;1161
240;1231
241;1689
242;556
243;1827
244;481
245;6
246;1068
247;373
248;2035
249;636
250;2433
251;1697
252;5555
253;3183
254;197
255;199
256;
257;1836
258;2246
259;762
260;1873
261;801
262;1909
263;144
264;1772
265;1055
266;913
267;2021
268;338
269;1219
270;3375
271;26
272;457
273;2813
274;1598
275;2264
276;4495
277;1381
278;549
279;5511
280;120060058
281;1817
282;1371
283;705
284;1686
285;1192
286;5592
287;2343
288;2828
289;120061915
290;720
291;1908
292;1330
293;2275
294;217
295;1286
296;150
297;579
298;2398
299;2497
300;4420
301;1578
302;1575
303;47
304;607
305;1663
306;778
307;3304
308;1364
309;
310;1834
311;1894
312;18492
313;5314
314;2794
315;1917
316;1427
317;1509
318;3159
319;1100
320;2041
321;702
322;1645
323;255
324;1457
325;1664
326;1496
327;4789
328;2632
329;5277
330;4094
331;1162
332;140
333;945
334;2750
335;120062073
336;2129
337;1655
338;5215
339;755
340;18
341;803
342;1016
343;2019
344;120061174
345;55
346;2148
347;1113
348;1198
349;2572
350;1668
351;1386
352;120061226
353;2973
354;396
355;2443
356;1435
357;1355
358;120061195
359;1574
360;1175
361;2470
362;1824
363;120051657
364;58
365;109
366;1046
367;924
368;1239
369;823
370;2304
371;716
372;3603
373;795
374;3486
375;1303
376;989
377;1777
378;2174
379;1727
380;4396
381;2040
382;530
383;5242
384;939
385;3805
386;447
387;5303
388;764
389;1294
390;2297
391;1200
392;120061620
393;1510
394;1280
395;3840
396;1523
397;1611
398;1399
399;2380
400;1852
