MASCARA;IES
1;999
2;1913
3;1294
4;3149
5;120060737
6;3459
7;1307
8;899
9;254
10;2202
11;2096
12;3461
13;3227
14;1598
15;1280
16;1630
17;1559
19;2148
20;1902
21;267
22;728
23;997
24;3448
25;3193
26;3840
27;5215
28;944
29;1926
30;3371
31;2491
32;1727
33;708
34;19
35;1059
36;2045
37;641
38;1076
39;3837
40;577
41;1355
42;139
43;625
44;1383
45;589
46;5315
47;2909
48;662
49;1497
51;3680
52;346
53;5439
54;4962
56;953
57;2257
58;1420
59;3770
60;5394
61;4420
62;1636
63;1816
64;1298
65;1545
66;2918
67;84
68;5439
69;120060477
70;1429
71;1034
72;3794
73;2810
74;3456
75;1041
76;3758
77;1541
78;1590
80;456
81;493
82;1662
83;4502
84;1159
85;833
87;1335
88;94
89;940
90;2475
91;296
92;2069
93;2442
94;1734
95;322
96;2504
97;3477
98;452
99;709
100;1080
101;745
102;2371
103;2855
104;601
105;1032
106;1427
107;1892
108;3951
109;3099
110;3339
111;2772
112;1988
113;5285
114;1181
115;455
116;2319
117;622
118;257
119;4021
120;1563
121;1940
122;1667
124;5555
125;1266
126;661
127;489
128;591
129;269
130;740
131;221
132;4531
133;1875
134;693
135;483
136;1415
137;596
138;3697
139;1567
140;38
141;25352
142;1290
143;572
144;120061345
145;430
146;1381
147;5451
148;1410
149;1839
150;1279
151;3158
152;120060442
153;1327
154;5242
155;2043
156;1596
157;1585
158;1399
159;1508
160;670
161;2651
162;4098
163;1599
164;1573
165;1191
166;651
167;5403
168;2447
169;3205
170;1438
171;3304
172;2067
173;2156
174;1319
175;1139
176;1375
177;3490
178;2037
179;508
180;1887
181;1961
182;2186
183;2423
184;1977
185;1885
186;3278
187;2521
188;1670
189;4200
190;266
191;1426
193;4173
194;2539
195;1847
196;2378
197;120060133
198;1325
199;2257
200;4098
201;446
203;277
204;1852
205;152
206;1382
207;1863
208;18492
209;58
210;14165
211;1388
212;2137
213;4118
214;5387
215;3007
216;519
217;491
218;3464
219;1866
220;2912
221;3793
222;1928
223;3164
224;3683
225;25282
226;1653
227;2710
228;1917
229;3303
230;480
231;1890
232;2561
233;120062073
234;1419
235;1867
236;945
237;1371
238;226
239;3979
240;1346
241;2753
242;1946
243;609
244;906
245;752
246;2271
247;1071
248;2151
249;874
250;1681
251;2443
252;1907
253;3978
254;3981
255;199
256;1443
257;1336
258;4793
259;849
262;2129
263;1499
264;1525
265;2019
266;1413
267;5242
268;5550
269;57
270;5669
271;738
272;1844
273;2135
274;2896
275;2468
276;1055
277;1720
278;685
279;18759
280;2560
281;1686
282;785
283;4256
284;4826
285;2554
286;1808
287;276
288;120060625
289;1572
290;120061174
291;1396
292;1638
294;2408
295;1013
296;3688
297;1030
298;4030
299;5591
300;231
301;3588
302;2072
303;706
304;343
305;404
306;2617
307;160
308;3205
309;17
310;3377
311;1623
312;1776
313;2123
314;120061013
315;5285
316;1772
317;159
318;3678
319;2200
320;120062121
321;2794
323;3804
324;1884
325;718
326;578
327;5303
328;3332
329;674
330;3396
331;120060402
332;1840
333;2184
334;450
335;2624
336;1492
337;1125
338;1845
339;120061267
340;703
341;397
342;1465
343;120060801
344;2014
345;4220
346;2180
347;1228
348;1934
349;550
350;1231
351;2322
352;2427
353;1303
354;918
355;3360
356;374
357;2508
358;165
359;634
360;2784
361;1502
362;2021
363;1843
364;2845
365;171
366;5555
367;4667
368;1028
369;2227
371;1090
372;3165
373;3400
374;2275
375;1607
376;5473
377;2470
378;3279
379;146
380;2431
381;1200
382;2389
383;120060686
384;3609
385;351
386;1639
387;93
388;764
389;330
390;457
391;4010
392;29118
393;4163
394;4025
395;321
396;2346
397;3268
398;2456
399;2233
400;3380
401;1759
402;19512
403;2191
404;3954
405;576
406;409
407;5317
408;3304
409;2761
410;1617
411;1682
412;3308
413;82
414;779
415;803
416;1750
417;2549
418;5511
419;4926
420;2128
421;1476
422;1877
423;5316
424;763
425;1625
426;4218
427;2075
428;3669
429;1144
430;1038
431;265
432;120061965
433;3840
434;2330
435;462
436;2726
437;1701
438;3299
439;3839
440;18874
441;5537
442;1735
443;1437
444;2741
445;1587
446;1489
447;120061884
448;926
449;4218
450;598
451;15032
452;1699
453;4101
454;1498
455;2230
456;1862
457;648
458;1742
459;72
460;1851
461;1100
462;120061323
463;1077
464;5215
465;1937
466;2189
467;145
468;214
470;924
471;120061220
472;120061067
473;1632
474;2369
475;3663
476;3984
477;1113
478;1741
479;1835
480;1992
481;882
482;144
483;923
484;1283
485;3840
486;432
487;593
488;5285
489;1332
490;824
491;3466
492;56
493;120060693
494;1058
495;120060356
496;1233
497;405
498;1445
499;586
500;1637
501;3840
502;10
503;1519
504;1520
505;5599
506;673
507;19257
508;5439
509;1507
510;1669
511;3840
512;2973
513;801
514;387
515;1213
516;1987
517;1767
518;3228
519;3693
520;1823
521;2042
522;5314
523;1786
524;1891
525;25277
526;4199
527;2133
528;5665
529;1506
530;1812
531;5670
532;3963
533;2289
534;3372
535;2245
536;1504
537;1657
538;14258
539;5439
540;2571
541;2409
542;4045
543;5216
544;2077
545;2123
546;3333
547;574
548;2134
549;1641
550;1411
551;694
552;1850
553;1454
554;749
555;3008
556;27103
557;2499
558;545
559;120062117
560;1802
561;2528
562;2045
563;1817
564;2579
565;1457
566;1883
567;2287
568;1819
569;1906
570;1021
571;722
572;5388
573;2342
574;15057
575;1516
576;79
577;201
578;3989
579;775
580;798
581;307
582;671
583;2410
584;527
585;2570
586;759
587;1270
588;1422
589;2620
590;3189
591;3501
592;1063
593;977
594;3294
595;5215
596;2098
597;1846
598;669
599;3365
600;4092
601;1628
602;1652
603;590
604;1303
605;2537
606;1869
607;2485
608;3516
609;985
610;1535
611;1232
612;1194
613;2145
614;1822
615;910
616;545
617;5318
618;1172
619;1295
620;789
621;2795
622;1394
623;440
624;736
625;3336
626;1156
627;1644
628;2581
629;3004
630;548
631;579
632;1436
633;2437
634;1092
635;4789
636;37
637;837
638;1915
639;192
640;1362
641;3152
643;337
644;77
645;4010
646;278
647;1151
648;1978
649;3478
650;472
651;15015
652;3224
654;2275
655;640
656;3295
657;120061697
658;2625
659;1425
660;2639
661;1131
662;667
663;5520
664;1079
665;825
666;1948
667;1326
668;1941
669;14005
670;2973
671;717
672;2243
673;1187
674;2722
675;2538
676;2910
677;396
678;2332
679;3485
680;1554
681;386
682;939
683;5216
684;345
685;4097
686;597
687;3486
688;2035
689;2343
690;1258
691;1777
692;1583
693;5369
694;2183
695;120060812
696;2308
697;994
698;120061921
699;599
700;224
701;355
702;2582
703;492
704;1059
705;1547
706;2903
707;3154
708;1993
709;2465
710;3467
711;5394
712;1909
713;1745
714;3804
715;3029
716;14165
717;1016
718;1418
719;1119
720;2165
721;1158
722;724
723;1931
724;989
725;3157
726;2231
727;135
728;490
729;3782
730;2040
731;585
732;756
733;1701
734;1692
735;371
736;403
