MASCARA;IES
1;2973
2;5388
3;1315
4;5394
5;2279
6;1190
7;1221
8;1191
9;1864
10;3516
11;2142
12;2896
13;1303
14;1204
15;171
16;
17;922
18;2034
19;1122
20;1363
21;3939
22;203
23;803
24;1430
25;991
26;1727
27;
28;2579
29;3149
30;1665
31;1610
32;5243
33;1350
34;950
35;4961
36;4157
37;1395
38;4022
39;1809
40;339
41;661
42;3420
43;446
44;2413
45;625
46;5403
47;
48;1780
49;607
50;409
51;1484
52;225
53;2058
54;1892
55;12
56;383
57;1777
58;4091
59;1014
60;2620
61;2457
62;2040
63;1841
64;2408
65;898
66;572
67;4358
68;3372
69;1736
70;633
71;1901
72;143
73;1506
74;4037
75;1375
76;1621
77;18492
78;1161
79;1099
80;1820
81;3371
82;3188
83;2323
84;219
85;15015
86;2181
87;1974
88;1455
89;1641
90;1441
91;13
92;5277
93;1712
94;1936
95;3625
96;1131
97;3489
98;151
99;1400
100;295
101;4251
102;2151
103;1187
104;1245
105;35
106;4023
107;5439
108;5277
109;906
110;3465
111;3309
112;1806
113;3189
114;2022
115;1333
116;4417
117;475
118;3293
119;1304
120;5520
121;3380
122;2257
123;3804
124;3224
125;1592
126;2145
127;1872
128;278
129;1195
130;1065
131;3514
132;1950
133;1710
134;651
135;1520
136;2202
137;1860
138;1436
139;2137
140;701
141;1958
142;1600
143;2019
144;2397
145;886
146;5537
147;2660
148;88
149;
150;2277
151;1550
152;4355
153;1429
154;2530
155;47
156;1735
157;746
158;4495
159;1764
160;2639
161;2287
162;3459
163;608
164;4357
165;396
166;1451
167;3192
168;19257
169;2497
170;1949
171;3947
172;3488
173;1294
174;5668
175;344
176;1153
177;1554
178;2573
179;1309
180;1813
181;451
182;705
183;609
184;837
185;4531
186;3749
187;1147
188;715
189;1281
190;1412
191;1502
192;57
193;873
194;1298
195;221
196;2845
197;316
198;1096
199;1226
200;1783
201;3991
202;1192
203;4218
204;244
205;231
206;954
207;17608
208;2511
209;2041
210;3365
211;3308
212;1170
213;
214;1459
215;719
216;3480
217;1155
218;2903
219;2079
220;1255
221;2297
222;200
223;573
224;2410
225;1818
226;18492
227;4504
228;2437
229;2460
230;434
231;703
232;959
233;1632
234;3760
235;3099
236;3876
237;1478
238;1856
239;5017
